"DateTime","OPEN"
2024-01-02,7.077
2024-01-03,7.1002
2024-01-04,7.0997
2024-01-05,7.1029
2024-01-08,7.1006
2024-01-09,7.101
2024-01-10,7.1055
2024-01-11,7.1087
2024-01-12,7.105
2024-01-15,7.1084
2024-01-16,7.1134
2024-01-17,7.1168
2024-01-18,7.1174
2024-01-19,7.1167
2024-01-22,7.1105
2024-01-23,7.1117
2024-01-24,7.1053
2024-01-25,7.1044
2024-01-26,7.1074
2024-01-29,7.1097
2024-01-30,7.1055
2024-01-31,7.1039
2024-02-01,7.1049
2024-02-02,7.1006
2024-02-05,7.107
2024-02-06,7.1082
2024-02-07,7.1049
2024-02-08,7.1063
2024-02-19,7.1032
2024-02-20,7.1068
2024-02-21,7.103
2024-02-22,7.1018
2024-02-23,7.1064
2024-02-26,7.108
2024-02-27,7.1057
2024-02-28,7.1075
2024-02-29,7.1036
2024-03-01,7.1059
2024-03-04,7.102
2024-03-05,7.1027
2024-03-06,7.1016
2024-03-07,7.1002
2024-03-08,7.0978
2024-03-11,7.0969
2024-03-12,7.0963
2024-03-13,7.093
2024-03-14,7.0974
2024-03-15,7.0975
2024-03-18,7.0943
2024-03-19,7.0985
2024-03-20,7.0968
2024-03-21,7.0942
2024-03-22,7.1004
2024-03-25,7.0996
2024-03-26,7.0943
2024-03-27,7.0946
2024-03-28,7.0948
2024-03-29,7.095
2024-04-01,7.0938
2024-04-02,7.0957
2024-04-03,7.0949
2024-04-08,7.0947
2024-04-09,7.0956
2024-04-10,7.0959
2024-04-11,7.0968
2024-04-12,7.0967
2024-04-15,7.0979
2024-04-16,7.1028
2024-04-17,7.1025
2024-04-18,7.102
2024-04-19,7.1046
2024-04-22,7.1043
2024-04-23,7.1059
2024-04-24,7.1048
2024-04-25,7.1058
2024-04-26,7.1056
2024-04-29,7.1066
2024-04-30,7.1063
2024-05-06,7.0994
2024-05-07,7.1002
2024-05-08,7.1016
2024-05-09,7.1028
2024-05-10,7.1011
2024-05-13,7.103
2024-05-14,7.1053
2024-05-15,7.1049
2024-05-16,7.102
2024-05-17,7.1045
2024-05-20,7.1042
2024-05-21,7.1069
2024-05-22,7.1077
2024-05-23,7.1098
2024-05-24,7.1102
2024-05-27,7.1091
2024-05-28,7.1101
2024-05-29,7.1106
2024-05-30,7.1111
2024-05-31,7.1088
2024-06-03,7.1086
2024-06-04,7.1083
2024-06-05,7.1097
2024-06-06,7.1108
2024-06-07,7.1106
2024-06-11,7.1135
2024-06-12,7.1133
2024-06-13,7.1122
2024-06-14,7.1151
2024-06-17,7.1149
2024-06-18,7.1148
2024-06-19,7.1159
2024-06-20,7.1192
2024-06-21,7.1196
2024-06-24,7.1201
2024-06-25,7.1225
2024-06-26,7.1248
2024-06-27,7.127
2024-06-28,7.1268
2024-07-01,7.1265
2024-07-02,7.1291
2024-07-03,7.1312
2024-07-04,7.1305
2024-07-05,7.1289
2024-07-08,7.1286
2024-07-09,7.131
2024-07-10,7.1342
2024-07-11,7.1339
2024-07-12,7.1315
2024-07-15,7.1313
2024-07-16,7.1328
2024-07-17,7.1318
2024-07-18,7.1285
2024-07-19,7.1315
2024-07-22,7.1335
2024-07-23,7.1334
2024-07-24,7.1358
2024-07-25,7.1321
2024-07-26,7.127
2024-07-29,7.1316
2024-07-30,7.1364
2024-07-31,7.1346
2024-08-01,7.1323
2024-08-02,7.1376
2024-08-05,7.1345
2024-08-06,7.1318
2024-08-07,7.1386
2024-08-08,7.146
2024-08-09,7.1449
2024-08-12,7.1458
2024-08-13,7.1479
2024-08-14,7.1415
2024-08-15,7.1399
2024-08-16,7.1464
2024-08-19,7.1415
2024-08-20,7.1325
2024-08-21,7.1307
2024-08-22,7.1228
2024-08-23,7.1358
2024-08-26,7.1139
2024-08-27,7.1249
2024-08-28,7.1216
2024-08-29,7.1299
2024-08-30,7.1124
2024-09-02,7.1027
2024-09-03,7.1112
2024-09-04,7.1148
2024-09-05,7.0989
2024-09-06,7.0925
2024-09-09,7.0989
2024-09-10,7.1136
2024-09-11,7.1182
2024-09-12,7.1214
2024-09-13,7.103
2024-09-18,7.087
2024-09-19,7.0983
2024-09-20,7.0644
2024-09-23,7.0531
2024-09-24,7.051
2024-09-25,7.0202
2024-09-26,7.0354
2024-09-27,7.0101
2024-09-30,7.0074
2024-10-08,7.0709
2024-10-09,7.0568
2024-10-10,7.0742
2024-10-11,7.0731
2024-10-14,7.0723
2024-10-15,7.083
2024-10-16,7.1191
2024-10-17,7.122
2024-10-18,7.1274
2024-10-21,7.0982
2024-10-22,7.1223
2024-10-23,7.1245
2024-10-24,7.1286
2024-10-25,7.109
2024-10-28,7.1307